"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Bahamas, The","BHS","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","44400000","26070000","21680000","29500000","37060000","43150000","49791749.995","53283299.995","47419149.995","68502120","61011331.49515","86298266.19186","92269247.78842","100205571.18728","113488563.9876","121973869.48799","161141029.7","182475256.58877","231498394.3","170115260","172036123","146838324.8","158165398.2","181313530.4","155332500","172283376.44","176619996.81775","179199407.1155","171391422.95992","227046327.93725","346518200.42779","410499698.74137","349644596.89403","319252845.06965","380645809.28448","491108556.83499","674401960.12293","586297963.5287","461331315.2776","464482907.004","567909090.40473","1009823756.52663","1044153229.31487","1070217927.41368","846941350.48868","807408441.84","874337365.33223","895475101.35357","1001933816.08353",
"Bosnia and Herzegovina","BIH","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80406088.8325073","174530395.634687","452403145.473886","496626493.17538","1233132928.07525","1336266917.89964","1813519792.88832","2427266571.98623","2547614647.93251","3671010360.77186","5041780928.99941","4479825860.46583","4575111865.09732","4411161779.29703","4247540641.34962","4389987070.72662","4984005031.73568","4860208944.67435","4790984889.73685","5136418166.08722",
"Belarus","BLR","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100987552.659351","377020403.61747","469150024.616942","393699160.752177","702756650.846573","294270276.55277","350495841.646122","390676493.599782","687361274.46805","636538852.300026","836974642.815144","1341819426.70311","1386410520.64751","4178575848.46101","3063153364.99866","5640214003.44149","5025438896.18598","7863287454.61976","8094991248.44557","6655081872.27805","5067717213.84858","4172797045.51947","4907607349.04434",
"Belize","BLZ","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","5490665.587099","8020500","13978000","10463000","12675500","10334500","9837500","9305500","6072201.1","14813000","26897000","36414760.2","51657201","59880045.6","69781507.2","53016555.7","52942500","38746500","34521500","37608500","58402000","59415500","44085000","71305500","122899000","112041500","114506500","84684000","48253500","71357500","113721669.3744","108512546.76175","166162899.97237","213683318.81089","217999641.8866","237114351.91606","288924771.46528","402752316.385","486876895.2176","437151643.91662","376735046.53482",
"Bermuda","BMU","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","6715418.39997429","7404270.65","4005989.97991429","10404576.4399429","22546124.3196357","36572986.4785586","41219613.4829114","37943132.7928443","41648875.0996886","42066867.1996657","46358702.5569177","56403968.62756","70640407.797","100621093.24782","252272315.99737","196963517.29297","206830649.03669","310364718.95","315441213.17692","527840704","553358366","429267402.698364","562569850.197357","508816421.498415","533100460.199087","492491229.19999","513310567","530316463.4","472580568","563347083","510931173.6","422359443.1","479572036.5","572438156.56486","793388751.80195","1005483030.52925","1301661385.19972","1359051251.47264","1218867122.52054","1248580021.88155","1184108306.17531","1146023742.97252","892729022.31188","1096941362.15753","1271423022.35593","1794985108.01949","3193982653.1554","5313632051.7025","7719766428.44136","8574579115.19856","9730683154.62655","11994673840.6272","13924289462.3238","14429068857.365","15129278397.2712","13049620584.5946","10053627176.1476",
"Brazil","BRA","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","349848799.991802","471156150","336000899.99213","355042319.991846","245487599.997395","484251119.998199","425796619.986582","200149599.986242","266422899.986379","656773199.986379","1189904669.81905","1753863602.27325","4218803656.92668","6508868347.72652","5463238315.22087","4166486818.72035","6666853677.56687","7441920005.3","12190031304.7773","9838704339.92612","6875230060.12973","7479611130.18527","3997356679.63976","4561475255.99992","11960814097.3985","11617955162.5995","6753681031.9","7476999725.8","8090172124","8728776000","9199691028.8","8748631531.3","23264547500","31746910991.86","38491777748.7982","51477389634.2753","59685476090.79","51705520617.097","43902193733.1553","36342324427.7274","33015297296.2664","35866445532.0312","37832146074.207","49297286965.9814","52934865193.0344","53799285064.6476","85842861104.6689","180333622538.264","193783363541.012","238539463013.264","288574603559.637","352010241721.417","373160978076.306","358816426346.517","363570247226.591","356464978111.395","364984031618.166",
"Barbados","BRB","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","12110000","9250000","15520000","12470000","16579999.998","18860556.89661","27988836.69523","32374289.49523","39152392.99522","39579079.79397","27977453.19396","37006112.9","59836261.29453","66117363.89317","80572797.79342","102966391.99355","124370270.899204","125586447.99756","134385155.799994","141755191.39783","154080944.4","148145894","137948763","111894928.8","117535625.4","87245215","139962500","150453017","195765859.6454","219099891.40505","289685885.88924","264917582.789","365945246.70217","301944440.69047","472693489.54671","690373664.9782","668514853.11904","737943171.96938","579857118.37866","603465312.2924","636089790.112","839429803.12","738527017.17206","871145361.39032","833540655.72737","812597135.01149","839722754.89164","680957878.96","632258990.00205","553604287.88215","",
"Brunei Darussalam","BRN","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","516844927.596868","408340661.93269","381821187.175808","448993813.103829","474743389.979937","488889874.069334","491885454.980829","513570191.499336","667491445.487696","751159775.045028","1357268835.76845","1563161416.30169","2583675748.98205","3449167942.13751","3575274093.30894","3648819902.2697","3366322452.15244","3487052925.62514",
"Bhutan","BTN","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","35480120.4589639","43047368.167435","53322921.3760224","61001769.2","86949129.0031994","95679186.0270655","90027652.8599606","88834212.8676715","101300000","85120000","97959127.76","121400000","130457706.402019","190071383.142913","188716778.076196","256803126.880851","292285627.761836","317632403.217667","323362186.934957","354949461.106132","366596385.522919","398620015.248475","467426186.508209","545324762.017609","699049468.012048","764803121.128615","890893412.64285","1002139066.59577","789643782.685292","954678385.908065","991306682.683915","1245086703.69609","1103179124.27264","1127276952.77012",
