 , China, Japan, Switzerland, Saudi Arabia, United States, Hong Kong, Russia, South Korea, Brazil, India, Singapore, Germany, Mexico, Thailand, France, Italy, United Kingdom, Algeria, Indonesia, Poland, Turkey, Israel, Malaysia, Czech Republic, United Arab Emirates, Canada, Philippines, Libya, Denmark, Spain, Peru, Norway, Sweden, Australia, Lebanon, South Africa, Colombia, Iraq, Chile, Romania, Argentina, Vietnam, Netherlands, Kuwait, Bangladesh, Qatar, Nigeria, Kazakhstan, Hungary, Morocco
Mexico, 12458.068192397046, 11301.925199902893, 9631.608166384618, 13874.700232305033, 3032.554670378768, 14126.80879533326, 10719.110464532725, 12052.508276142687, 6832.939238814467, 14659.516292142669, 16609.50471924343, 9726.494991956051, 0.0, 15744.032671180497, 9194.507937317072, 10239.401996484126, 8931.85257491023, 9755.153451729888, 16845.575563022263, 10178.06420902961, 11751.236555802529, 12528.669208841737, 16623.879255528147, 9925.204798498862, 14352.740828394684, 3602.742100760791, 14221.01840147137, 10773.053085039512, 9510.488571104741, 9064.844709879762, 4255.087928252207, 9195.438167895296, 9583.895912723528, 13176.946547535355, 12386.081731793773, 14598.235615794796, 3176.516368570185, 12986.984343211208, 6610.408572307544, 11002.642108387716, 7373.092056083711, 14757.860808589894, 9218.186128253514, 13542.982583150251, 15106.95714727368, 14117.378931356028, 11385.131850575961, 12110.601542071876, 10364.037892847722, 9019.053263914244
Thailand, 3296.0604763059596, 4606.797616441292, 9123.638614397038, 5744.324204699366, 14156.836891164574, 1727.0979302539686, 7066.821876921027, 3720.8439623976456, 16616.521462601846, 2917.7359129721203, 1433.9115605096856, 8605.174710526186, 15744.032671180497, 0.0, 9445.721840488195, 8831.506443986154, 9530.64804261538, 9745.782102275189, 2321.2477702059587, 8092.135687478981, 7134.714060759796, 6887.098825618615, 1183.966318629458, 8560.14978686528, 4969.19770129986, 13425.034350705842, 2205.991421699145, 8940.121799175005, 8620.276799501917, 10182.184176218423, 19690.605636346354, 8674.89705729485, 8269.745202578611, 7475.438702291892, 6867.878170834808, 8964.21251590203, 17889.41926069068, 6041.741104428331, 17650.194986430408, 7710.895344669164, 16894.42115826212, 987.7166846949476, 9175.09610255573, 5654.65277673037, 1535.8920769245865, 5261.5974158337385, 10086.522454007807, 4910.760532290767, 8245.947989752414, 10689.909515848429
France, 8214.861739929596, 9714.858536400354, 439.7572062629971, 4685.4818672811325, 6162.249910700439, 9616.487182396033, 2485.7299990578063, 8967.597634839343, 8725.295581193972, 6588.099571951245, 10738.195751639121, 877.5904169108021, 9194.507937317072, 9445.721840488195, 0.0, 1106.5616417584947, 339.5846683096421, 1348.5627458380957, 11581.032140304704, 1366.896333476844, 2599.2173626407084, 3334.9377435393344, 10423.807187537584, 886.0176848378079, 5241.036647648912, 5647.475436229115, 10743.072308315772, 1992.4135820557876, 1026.6463749997827, 1054.1656568506635, 10254.255677556937, 1341.6313628617118, 1542.9430995424118, 16919.884012227983, 3194.037396106512, 8681.381505875464, 8630.911466472757, 3861.414904348016, 11648.245685150898, 1871.3047012983993, 11063.23890433704, 9197.395535592925, 428.01467726545786, 4406.200071703291, 7910.398520389089, 4974.628759490187, 4450.2555462374685, 4756.895538064521, 1248.5095777290558, 1815.7252603741442
Italy, 8123.763877393346, 9858.016269996058, 685.2208569847357, 3678.0626678960757, 7214.804743429789, 9268.320640380784, 2375.013717445628, 8968.937408413614, 8905.384376185826, 5917.432919667041, 10025.322858438329, 1182.5222914480396, 10239.401996484126, 8831.506443986154, 1106.5616417584947, 0.0, 1430.5647029437212, 992.1703273462699, 10823.046618222403, 1317.1881612269106, 1722.4917367676426, 2306.691499956924, 9707.666504505418, 922.6630493877115, 4297.6867419109385, 6728.83036629812, 10390.087137055276, 1004.4130802052257, 1530.800607997717, 1361.78569690769, 10860.564254040184, 2006.8754385813893, 1976.2149867510448, 16217.049912210317, 2199.672980361187, 7688.992224616479, 9382.242145476821, 2948.174712049986, 11909.007421562928, 1138.1990872500444, 11167.580100580815, 8731.878714549543, 1293.6784650057198, 3465.1214855658986, 7307.265979473693, 4015.257047846463, 3681.146024297647, 4496.870357469804, 811.7001366395743, 1899.5932235570256
United Kingdom, 8137.101743879674, 9560.544488968626, 747.9956743350793, 4942.876755429333, 5900.105040185314, 9610.28116129219, 2497.0996187586325, 8857.825848826402, 8794.43611455524, 6708.844524459402, 10853.108924026454, 928.3880312160188, 8931.85257491023, 9530.64804261538, 339.5846683096421, 1430.5647029437212, 0.0, 1658.6818390987487, 11709.583420365512, 1444.6332176213427, 2830.6624383483686, 3608.1090226246756, 10541.412047473961, 1033.0182089558277, 5469.575227754481, 5364.618546077163, 10731.858634209702, 2331.9175129672876, 953.908599474643, 1264.8464243062563, 10173.75945403446, 1152.993430418187, 1430.4600432514603, 16978.127377942117, 3455.3561478462525, 9019.237988929919, 8504.088762136422, 4087.8359057950966, 11674.760015477099, 2087.6719996735083, 11141.559099962058, 9232.313297336046, 355.5712856674421, 4638.5919658610865, 7999.6615020387035, 5210.863794016132, 4767.522178143368, 4761.37819875185, 1448.8992099359366, 2018.1641164140576
Algeria, 9109.317901654056, 10803.721625670318, 1187.711822257025, 4343.376374367406, 6793.43449815101, 10251.188294598442, 3336.358591930034, 9943.603337536233, 7913.227358219204, 6828.401995682128, 10881.207118785655, 1930.4794193441232, 9755.153451729888, 9745.782102275189, 1348.5627458380957, 992.1703273462699, 1658.6818390987487, 0.0, 11642.66522670205, 2222.7595186682697, 2612.061027305054, 2994.6486856517554, 10564.256748763146, 1741.5148526238113, 5035.018925663661, 6404.495189374332, 11369.851278695436, 1017.9747585046775, 2222.830937718558, 711.9364194889723, 9945.016882962786, 2634.0465750638095, 2732.935604479553, 16975.78759450472, 2947.8345897628965, 7427.507292149015, 8556.223406020348, 3754.5030309606827, 10917.557518143889, 2116.119607975611, 10179.818137718186, 9694.880025263446, 1740.783433269325, 4226.540840106148, 8235.48646198813, 4740.011298744493, 3109.447937112732, 5488.547893346844, 1776.0647998299396, 944.1530746402055
Indonesia, 5217.372286152008, 5786.4864909667895, 11217.57007178812, 7348.115342198286, 16356.976530348269, 3273.7822621802397, 9306.887426624457, 5291.66989602634, 16314.312714874164, 5000.791938317795, 891.4698223277909, 10782.243199968161, 16845.575563022263, 2321.2477702059587, 11581.032140304704, 10823.046618222403, 11709.583420365512, 11642.66522670205, 0.0, 10265.862529374435, 9100.952632242728, 8656.393192891592, 1183.1445114228666, 10700.47001400246, 6619.883546056327, 15643.912419554897, 2786.90482653368, 10719.224706659084, 10838.755157199954, 12182.387624046094, 17944.853968449657, 10938.601392016195, 10527.250247795817, 5396.024272489592, 8694.850222527912, 8570.462898464986, 19814.40341470424, 7894.655694769807, 15601.926400663191, 9756.964464688239, 15234.445621830095, 3026.3422636522946, 11357.30858743944, 7416.86459760326, 3770.4187300130234, 6918.360384833284, 11130.379124456273, 7214.463937078742, 10343.02801306629, 12563.10417887187
Poland, 6938.4580956403215, 8581.107325183493, 1139.0736448953596, 3756.376408359402, 7175.540959167008, 8262.063432797691, 1149.2407556872536, 7741.4534026656365, 10027.55490177369, 5265.109473250246, 9408.483533704422, 516.4288604425714, 10178.06420902961, 8092.135687478981, 1366.896333476844, 1317.1881612269106, 1444.6332176213427, 2222.7595186682697, 10265.862529374435, 0.0, 1642.4993735686398, 2552.73588731869, 9096.80811520471, 515.0581796584049, 4174.9142644633475, 6575.530030891334, 9390.052220744112, 2243.825250922992, 668.2812115849367, 2290.077119819625, 11610.215406857327, 1061.0585133967115, 808.7284898138272, 15558.831426146244, 2349.3571480407913, 8696.10026200399, 9948.024989481983, 2815.6155110519335, 12986.2442471419, 946.8038566299848, 12342.76637491355, 7830.632716575813, 1091.4485094339775, 3370.5860377014483, 6559.0125577103045, 3943.102307564988, 4952.7643958373055, 3405.0422587762555, 545.689533261731, 3000.224271960461
Turkey, 6830.259690298148, 8766.691659906961, 2181.4246422171173, 2134.090891908351, 8724.049902455765, 7712.404669160567, 1792.8141663503345, 7746.018100714603, 10367.126410042274, 4216.998568513978, 8304.31634491964, 2037.2838886065836, 11751.236555802529, 7134.714060759796, 2599.2173626407084, 1722.4917367676426, 2830.6624383483686, 2612.061027305054, 9100.952632242728, 1642.4993735686398, 0.0, 932.7005310055943, 7986.640038531136, 1826.2736334599758, 2642.2994191710955, 8160.993672381783, 8812.973358035888, 1923.897799519561, 2296.8233554558547, 3083.745649240954, 12556.23119991995, 2700.3772189839915, 2394.1520538271575, 14496.17670886891, 713.967990008924, 7313.99058049618, 11104.620433764916, 1262.2591976563756, 13369.433316891847, 748.6749962417683, 12499.447741312884, 7106.105064624466, 2533.3884415196812, 1808.7576631417992, 5623.935486025372, 2380.2507653033404, 4249.28336473793, 3205.756530588627, 1387.6175677477947, 3556.083971343315
Israel, 7118.128875141936, 9151.341620747817, 2897.164062275418, 1372.8549705249277, 9496.927278919698, 7714.185651500543, 2673.215048516656, 8064.549924749653, 10298.271563333228, 4024.4899231117956, 7920.880264410338, 2902.240751759114, 12528.669208841737, 6887.098825618615, 3334.9377435393344, 2306.691499956924, 3608.1090226246756, 2994.6486856517554, 8656.393192891592, 2552.73588731869, 932.7005310055943, 0.0, 7606.357904333217, 2663.262226618183, 2040.5396304873104, 8972.562381040792, 8764.228823411459, 2073.3953034945093, 3189.6391407897963, 3595.0453041820156, 12805.49117793134, 3613.7919965289166, 3321.908985352615, 13990.263251678592, 234.83495394416173, 6433.2660434111995, 11539.248380202258, 876.3436938533913, 13230.166358981345, 1616.9604561890783, 12261.368225723529, 7017.204392372047, 3347.0809077599883, 1247.1808805541962, 5445.983754634715, 1745.4523693197802, 3810.1893660859487, 3649.1495760775315, 2220.647457470429, 3906.7125111443875
Malaysia, 4345.728087433982, 5322.402119439874, 10071.25382491375, 6346.37054502424, 15337.437553771937, 2522.482801766125, 8125.565879268056, 4609.865277329541, 16407.214808801906, 3835.9140237449633, 317.67631027881487, 9613.179198824479, 16623.879255528147, 1183.966318629458, 10423.807187537584, 9707.666504505418, 10541.412047473961, 10564.256748763146, 1183.1445114228666, 9096.80811520471, 7986.640038531136, 7606.357904333217, 0.0, 9540.169620432143, 5592.755309993379, 14606.73963304992, 2465.6631300146028, 9679.588907399419, 9661.442058785982, 11069.444089724631, 19017.763895160177, 9755.814204686427, 9344.780193324155, 6526.812447666207, 7624.731427224568, 8517.031298619222, 19032.590650900307, 6810.388022220399, 16555.601068714663, 8620.589549987773, 15975.257975520546, 2036.8136551892928, 10187.877553485765, 6359.403978175812, 2587.638306875124, 5892.6196364989, 10408.648661556228, 6036.6820303478335, 9193.581047245247, 11498.741981516509
Czech Republic, 7451.480258104499, 9071.939377278817, 624.0848996346788, 3957.4009861743048, 6899.826149004555, 8771.137943461166, 1664.2403742024471, 8248.429121193247, 9512.54943027639, 5704.255763241545, 9854.10198916803, 280.54446509025854, 9925.204798498862, 8560.14978686528, 886.0176848378079, 922.6630493877115, 1033.0182089558277, 1741.5148526238113, 10700.47001400246, 515.0581796584049, 1826.2736334599758, 2663.262226618183, 9540.169620432143, 0.0, 4451.0205034633345, 6335.70950649652, 9899.41141774033, 1915.5387165812474, 633.5109643565979, 1775.0189402398382, 11139.421393148275, 1118.370814287064, 1053.610855289764, 16035.118294054795, 2487.9787425077484, 8535.394840558856, 9512.044037208863, 3070.983313266945, 12472.655819850761, 1077.600726354292, 11829.266375191317, 8326.429136071669, 710.6409898363603, 3625.015577217702, 7024.666389144106, 4199.183260863615, 4603.807325594783, 3916.83221455483, 443.5761284961973, 2488.7706107295617
United Arab Emirates, 5960.838088283101, 8059.062767509095, 4819.159994222483, 775.5439966769171, 11344.157342848786, 6051.21085466248, 3737.174688473117, 6904.630049395097, 11942.022092873427, 2313.7405536154974, 5904.149911598684, 4634.454897376873, 14352.740828394684, 4969.19770129986, 5241.036647648912, 4297.6867419109385, 5469.575227754481, 5035.018925663661, 6619.883546056327, 4174.9142644633475, 2642.2994191710955, 2040.5396304873104, 5592.755309993379, 4451.0205034633345, 0.0, 10750.007562983765, 7003.708616138593, 4099.918306483143, 4842.28094282059, 5622.341440214161, 14731.009013728011, 5167.664697889469, 4791.138734636567, 11954.657525298438, 2103.907701266535, 6246.76379427922, 13573.55630476925, 1381.75175008784, 14636.02236462909, 3381.9131090240876, 13553.510752027776, 5263.47667201319, 5161.648472308536, 836.0632942374909, 3648.2468477470734, 299.8942632426547, 5241.236141768597, 3306.922479423083, 4021.381775440329, 5944.783080640834
Canada, 10450.24113067616, 10319.947275895704, 6087.232625771684, 10293.019097735152, 734.3065159678121, 12409.466893463781, 7158.319165591503, 10513.935530256435, 7358.759542411908, 11340.47934173915, 14822.094248448202, 6128.860301851051, 3602.742100760791, 13425.034350705842, 5647.475436229115, 6728.83036629812, 5364.618546077163, 6404.495189374332, 15643.912419554897, 6575.530030891334, 8160.993672381783, 8972.562381040792, 14606.73963304992, 6335.70950649652, 10750.007562983765, 0.0, 13133.560456779822, 7397.230108176183, 5907.808606685317, 5692.799106192809, 6391.441602753149, 5598.817081598994, 5993.310994567677, 16106.76467516717, 8814.781803569282, 13059.95429515244, 4541.320200211924, 9386.936097669965, 8784.234712783174, 7412.738724013628, 9059.240773574968, 12624.517939574405, 5633.96580557986, 9942.888669219672, 12199.976532720782, 10516.783166917063, 8762.962116905415, 8820.967078758795, 6777.377005064016, 5843.372537526174
Philippines, 2850.2417026396092, 2999.5908964242326, 10514.402893560693, 7772.768872361574, 13781.490339326852, 1128.3902067892063, 8257.344429350822, 2620.1158345548406, 18815.08561013159, 4754.3923837325865, 2393.422447739597, 9865.512489355951, 14221.01840147137, 2205.991421699145, 10743.072308315772, 10390.087137055276, 10731.858634209702, 11369.851278695436, 2786.90482653368, 9390.052220744112, 8812.973358035888, 8764.228823411459, 2465.6631300146028, 9899.41141774033, 7003.708616138593, 13133.560456779822, 0.0, 10719.842068506061, 9777.993811154185, 11654.43666892513, 18045.757893426675, 9685.749576318316, 9327.825389478172, 6289.650895606854, 8698.811463830238, 10974.213149711162, 17311.30420211083, 7889.623315245889, 17613.365419100526, 9255.002724436776, 17792.737393312145, 1751.4857479821562, 10390.111616977882, 7591.587791861251, 3358.401346064754, 7280.800153937528, 12219.24076968338, 5986.725495284718, 9681.077902826406, 12288.473460262969
Libya, 8717.39392737647, 10580.681112747892, 1633.2884643677692, 3378.469272091899, 7804.680510091573, 9628.416362811637, 3165.48620585383, 9612.061714801239, 8443.230703972435, 6044.274738991996, 9993.865100553014, 2183.2074095344433, 10773.053085039512, 8940.121799175005, 1992.4135820557876, 1004.4130802052257, 2331.9175129672876, 1017.9747585046775, 10719.224706659084, 2243.825250922992, 1923.897799519561, 2073.3953034945093, 9679.588907399419, 1915.5387165812474, 4099.918306483143, 7397.230108176183, 10719.842068506061, 0.0, 2533.79490115349, 1715.8832400193126, 10751.137395190699, 3011.213193083019, 2963.2669313655115, 15984.019651493076, 2072.632606694302, 6706.198503766995, 9473.643051175532, 2898.563605206984, 11446.859643685917, 1701.757033204637, 10598.384729181831, 8995.604322349402, 2263.893416878199, 3320.5661053554895, 7467.038581765992, 3801.045685986473, 2708.9718153624103, 5067.250418185914, 1699.9281889761069, 1855.3383777983188
Denmark, 7199.022291819429, 8692.738309313978, 1035.2699494916453, 4420.456665537291, 6511.92115303738, 8656.78308062623, 1558.732668590522, 7942.0943997827735, 9735.743546421229, 5847.352117381467, 9969.127671458242, 354.28313421911855, 9510.488571104741, 8620.276799501917, 1026.6463749997827, 1530.800607997717, 953.908599474643, 2222.830937718558, 10838.755157199954, 668.2812115849367, 2296.8233554558547, 3189.6391407897963, 9661.442058785982, 633.5109643565979, 4842.28094282059, 5907.808606685317, 9777.993811154185, 2533.79490115349, 0.0, 2073.24746492188, 11088.544449916304, 484.8601773274413, 522.0533531365372, 16034.64092514408, 2995.011004152293, 9168.546493979384, 9376.328038891927, 3483.7835604841507, 12628.346381359659, 1572.6809830544064, 12079.07562817818, 8289.693012138188, 621.5154137801558, 4038.845191605412, 7097.030963240989, 4611.374797933332, 5198.765413183157, 3811.878555305928, 1012.0401052449735, 2830.6319040364615
Spain, 9220.311019520166, 10765.922933930522, 1151.167658103405, 4962.6454491277855, 6088.812607205683, 10526.468930679372, 3439.189921847959, 9997.657627814422, 7737.7214896747155, 7272.791077728402, 11387.097476159226, 1869.0450981610436, 9064.844709879762, 10182.184176218423, 1054.1656568506635, 1361.78569690769, 1264.8464243062563, 711.9364194889723, 12182.387624046094, 2290.077119819625, 3083.745649240954, 3595.0453041820156, 11069.444089724631, 1775.0189402398382, 5622.341440214161, 5692.799106192809, 11654.43666892513, 1715.8832400193126, 2073.24746492188, 0.0, 9510.872626957123, 2389.3206503769825, 2593.4072951690264, 17571.00575497975, 3518.8014591006604, 8056.290978917979, 8022.119617551261, 4295.41719264146, 10702.133661186446, 2471.4981010633833, 10059.198762854945, 10039.664553333627, 1481.1191608253669, 4797.506203205568, 8652.850237432933, 5333.067172352195, 3654.5135716027553, 5684.57239352026, 1976.8089726707044, 761.9603053944222
Peru, 16647.40464283052, 15486.573036340073, 10573.020008418473, 13956.404079366426, 5663.5306052914275, 18364.922039073525, 12644.078302348646, 16307.211288508088, 3169.0257720438076, 16773.229447173482, 18813.781432464, 11098.068750318764, 4255.087928252207, 19690.605636346354, 10254.255677556937, 10860.564254040184, 10173.75945403446, 9945.016882962786, 17944.853968449657, 11610.215406857327, 12556.23119991995, 12805.49117793134, 19017.763895160177, 11139.421393148275, 14731.009013728011, 6391.441602753149, 18045.757893426675, 10751.137395190699, 11088.544449916304, 9510.872626957123, 0.0, 11043.088746130776, 11446.271676243972, 12855.611547734652, 12823.511123994507, 10912.097560857539, 1880.2266529395602, 13649.617382068496, 2466.395421342902, 11982.317554443505, 3118.6106034192026, 18969.568367164647, 10529.327425555937, 14039.37378609245, 18160.8999497692, 14437.565197734275, 9636.52684781957, 14817.829900034354, 11450.188194482758, 9000.878796483916
